Suspect ID,Name,Description,Previous Convictions,Interview Date,Age Group,Crime Type,Arrested,Postcode
S0192,Jessica Sanchez,"female, 5'4"", tracksuit",3,2025-05-16,55+,Theft from the person,Yes,EC1R 4ST
S1444,Richard Thomas,"male, 5'11"", dark coat",9,2025-06-16,35-44,Theft from the person,No,SW6 1GE
S1029,Carol Adams,"male, 5'4"", dark coat",5,2025-07-29,55+,Bicycle theft,No,SW8 3BY
S0337,Olivia Lee,"male, 6'0"", black hoodie",8,2025-06-19,55+,Bicycle theft,Yes,N2 0UU
S0299,William Hall,"male, 5'9"", white t-shirt",5,2025-05-14,25-34,Bicycle theft,Yes,NW9 7FT
S1224,Joseph Adams,"female, 5'4"", baseball cap",25,2025-07-01,55+,Bicycle theft,Yes,SW11 5DF
S0116,Harper Robinson,"male, 6'2"", blue jeans",12,2025-07-12,25-34,Theft from the person,No,SE5 9BJ
S0521,Helen Miller,"male, 5'8"", tracksuit",6,2025-06-24,35-44,Theft from the person,Yes,SE1 9PY
S0810,Sophia Rodriguez,"male, 5'7"", tracksuit",16,2025-05-27,45-54,Theft from the person,No,IG1 8NW
S0315,Daniel Rivera,"female, 5'8"", leather jacket",2,2025-07-27,35-44,Theft from the person,Yes,RM3 8HB
S1128,Sandra Williams,"female, 5'11"", dark coat",23,2025-07-05,55+,Theft from the person,Yes,N17 0WX
S1157,Barbara Jones,"female, 5'11"", blue jeans",4,2025-07-05,25-34,Theft from the person,No,TW7 5HZ
S1071,Charlotte Nelson,"female, 5'6"", denim jacket",17,2025-07-27,18-24,Theft from the person,No,W1X 2HH
S1440,Mia Thompson,"female, 5'4"", baseball cap",9,2025-05-24,45-54,Bicycle theft,No,E12 5BJ
S0360,Jennifer Robinson,"male, 6'2"", black hoodie",13,2025-06-26,55+,Theft from the person,Yes,UB5 6XX
S1294,Carol Lopez,"male, 6'1"", black hoodie",11,2025-07-28,55+,Theft from the person,No,W8 5PF
S1472,Barbara Martin,"female, 6'1"", leather jacket",12,2025-06-10,55+,Theft from the person,No,SW17 0XS
S0547,Robert Martin,"male, 5'7"", dark coat",15,2025-06-18,25-34,Theft from the person,Yes,KT4 8AE
S1455,Lisa Smith,"male, 5'4"", grey sweater",8,2025-06-19,35-44,Theft from the person,Yes,E14 8RA
S1145,Paul Wright,"female, 6'0"", tracksuit",15,2025-05-22,35-44,Theft from the person,No,N1 6AF
S1484,Andrew Clark,"female, 5'7"", grey sweater",14,2025-05-09,35-44,Theft from the person,Yes,EC4N 6LN
S0095,Harper Ramirez,"female, 5'6"", grey sweater",1,2025-07-15,25-34,Theft from the person,Yes,BR7 5SD
S1058,Joseph Baker,"female, 5'10"", leather jacket",4,2025-06-10,55+,Bicycle theft,Yes,SE17 2AB
S0469,Linda Martinez,"female, 5'10"", tracksuit",5,2025-07-20,18-24,Theft from the person,No,HA9 8PT
S0413,Mia Taylor,"male, 5'11"", grey sweater",8,2025-05-08,35-44,Bicycle theft,Yes,SE15 6LQ
S1145,Paul Wright,"female, 6'0"", tracksuit",8,2025-05-28,45-54,Bicycle theft,No,NW11 6EW
S1159,Barbara Robinson,"male, 5'5"", grey sweater",9,2025-07-18,55+,Theft from the person,Yes,E18 2XG
S1086,Lisa Miller,"male, 5'8"", leather jacket",15,2025-06-26,35-44,Theft from the person,Yes,HA6 1QS
S1424,Ava Baker,"male, 5'7"", red jacket",13,2025-05-30,55+,Theft from the person,Yes,DA5 9AX
S1148,Jessica Johnson,"male, 5'5"", grey sweater",4,2025-06-02,55+,Theft from the person,Yes,RM7 1RJ
S1216,Christopher Wright,"female, 6'0"", tracksuit",13,2025-07-22,35-44,Bicycle theft,Yes,EC4R 9AP
S1048,Michael Carter,"male, 5'7"", black hoodie",16,2025-05-17,55+,Theft from the person,Yes,W1M 3LJ
S0310,Evelyn Jones,"male, 6'0"", baseball cap",5,2025-07-07,55+,Theft from the person,No,SE12 9ZP
S0913,Harper Anderson,"male, 5'4"", tracksuit",17,2025-06-26,25-34,Theft from the person,No,W5 2TB
S0956,Donna Nguyen,"female, 5'7"", baseball cap",11,2025-06-13,35-44,Theft from the person,Yes,KT1 9HG
S0152,Sophia Adams,"male, 5'7"", leather jacket",6,2025-07-11,18-24,Theft from the person,No,RM9 5TA
S0847,Jennifer Carter,"female, 5'8"", black hoodie",5,2025-05-22,35-44,Theft from the person,Yes,WC1R 5EF
S1489,Helen Carter,"male, 5'6"", white t-shirt",11,2025-05-17,45-54,Theft from the person,Yes,HA3 5FD
S1445,Donna Martin,"male, 6'2"", tracksuit",13,2025-05-28,18-24,Bicycle theft,No,SW7 3LQ
S1465,Emma Roberts,"female, 5'9"", grey sweater",16,2025-06-04,55+,Theft from the person,Yes,EN5 5RZ
S1210,Betty Jones,"female, 5'11"", leather jacket",15,2025-05-05,18-24,Theft from the person,Yes,W1A 6YN
S0986,Matthew Martin,"male, 6'2"", tracksuit",8,2025-05-18,45-54,Bicycle theft,Yes,N17 9JZ
S1032,Emma Martin,"male, 6'0"", tracksuit",4,2025-07-27,18-24,Theft from the person,No,N15 3YQ
S1400,Daniel Harris,"male, 5'8"", black hoodie",15,2025-05-07,25-34,Theft from the person,Yes,SE1 3QG
S0525,Christopher Hall,"male, 5'4"", tracksuit",3,2025-06-03,35-44,Bicycle theft,No,E14 3QL
S0615,Michael Carter,"male, 5'5"", red jacket",12,2025-07-24,35-44,Bicycle theft,Yes,W1U 3HD
S0936,Michael Martinez,"female, 5'8"", tracksuit",6,2025-05-31,25-34,Theft from the person,No,SE15 3LP
S1415,John White,"female, 6'2"", tracksuit",13,2025-05-03,55+,Theft from the person,No,NW6 1FX
S1029,Carol Adams,"male, 5'4"", dark coat",11,2025-06-20,45-54,Theft from the person,No,CR4 1ZD
S1437,Anthony Hall,"male, 5'6"", red jacket",0,2025-05-26,25-34,Bicycle theft,Yes,IG11 0ZA
S0173,Lisa Martin,"female, 5'6"", grey sweater",18,2025-05-04,18-24,Bicycle theft,Yes,W5 2ZW
S0625,Betty Allen,"male, 5'10"", red jacket",13,2025-07-02,18-24,Bicycle theft,No,SW15 2FP
S1445,Donna Martin,"male, 6'2"", tracksuit",35,2025-06-27,18-24,Bicycle theft,Yes,NW10 4YN
S1196,Joshua Rodriguez,"male, 6'2"", tracksuit",19,2025-07-27,45-54,Bicycle theft,No,KT4 8DJ
S0975,Matthew Rodriguez,"female, 6'1"", grey sweater",10,2025-07-24,35-44,Bicycle theft,Yes,TW11 8HH
S1474,Sophia Williams,"female, 5'9"", black hoodie",6,2025-05-24,45-54,Bicycle theft,No,E9 6QJ
S0910,Carol Perez,"male, 5'8"", white t-shirt",8,2025-06-03,55+,Theft from the person,No,SM4 6QR
S0406,Mary Hernandez,"male, 6'2"", white t-shirt",11,2025-07-18,18-24,Theft from the person,Yes,SE16 2JL
S1439,Donna Nelson,"male, 6'2"", red jacket",5,2025-07-13,18-24,Theft from the person,Yes,E17 4XL
S0384,Michael Gonzalez,"male, 5'9"", tracksuit",12,2025-07-25,45-54,Theft from the person,No,DA14 4BP
S0267,Emma Miller,"female, 5'8"", grey sweater",14,2025-07-24,55+,Theft from the person,Yes,SE1 3YZ
S1298,Christopher Perez,"female, 5'11"", baseball cap",5,2025-06-10,25-34,Bicycle theft,Yes,HA3 9RX
S1209,Patricia Anderson,"female, 5'4"", black hoodie",12,2025-07-29,45-54,Theft from the person,No,NW1 9YB
S1343,Richard Roberts,"male, 6'0"", baseball cap",9,2025-05-09,35-44,Theft from the person,Yes,EC2M 4PH
S0430,Nancy Thompson,"male, 6'1"", baseball cap",11,2025-07-25,45-54,Bicycle theft,Yes,N14 6BQ
S0138,Joshua Rivera,"male, 6'1"", grey sweater",18,2025-05-07,45-54,Theft from the person,No,W5 3PN
S1481,Charles King,"male, 5'11"", baseball cap",35,2025-06-15,35-44,Bicycle theft,Yes,NW3 9WH
S0053,Robert Anderson,"male, 5'10"", baseball cap",13,2025-07-16,25-34,Theft from the person,No,SE1 3JS
S1336,Susan Nelson,"male, 5'4"", red jacket",27,2025-06-20,55+,Bicycle theft,No,E17 8BF
S0633,Thomas Williams,"male, 5'5"", denim jacket",12,2025-07-06,35-44,Bicycle theft,Yes,RM9 4DX
S1484,Andrew Clark,"female, 5'7"", grey sweater",20,2025-05-31,18-24,Theft from the person,Yes,CR8 5JH
S0322,Daniel Wright,"male, 5'9"", blue jeans",4,2025-05-29,18-24,Bicycle theft,No,E9 6AB
S0084,Andrew Thompson,"female, 5'4"", leather jacket",11,2025-07-01,45-54,Bicycle theft,Yes,BR3 1SL
S0637,Olivia Martin,"female, 5'7"", red jacket",1,2025-05-11,18-24,Bicycle theft,Yes,DA6 7ZF
S1123,Christopher Davis,"male, 5'11"", black hoodie",10,2025-07-20,25-34,Theft from the person,No,EC3N 1EL
S1495,Patricia Walker,"male, 5'6"", black hoodie",22,2025-05-23,25-34,Theft from the person,Yes,EC3M 4AJ
S0583,Donald Sanchez,"female, 5'8"", denim jacket",14,2025-06-28,35-44,Theft from the person,No,SW9 9PT
S1072,John Roberts,"male, 5'7"", leather jacket",8,2025-06-10,35-44,Theft from the person,Yes,BR6 8DN
S1328,Patricia Miller,"male, 5'4"", black hoodie",8,2025-07-14,55+,Theft from the person,No,TW9 1DE
S0041,Ruth Harris,"male, 6'0"", denim jacket",13,2025-05-02,45-54,Bicycle theft,Yes,SE10 1GH
S0930,Charles Baker,"male, 5'5"", denim jacket",7,2025-07-19,25-34,Bicycle theft,No,E1 1PW
S0039,David Young,"female, 6'1"", dark coat",12,2025-06-06,55+,Bicycle theft,Yes,N7 6QQ
S0894,David King,"female, 5'6"", tracksuit",11,2025-05-16,45-54,Bicycle theft,No,KT1 2BQ
S1391,Matthew White,"male, 5'10"", dark coat",16,2025-06-07,45-54,Theft from the person,No,TW12 2YY
S1255,Karen Jackson,"male, 6'2"", red jacket",16,2025-05-02,55+,Bicycle theft,No,TW9 2TT
S1104,Paul Sanchez,"female, 5'10"", blue jeans",12,2025-05-16,35-44,Bicycle theft,No,E8 2FF
S0215,Richard Thompson,"female, 5'8"", blue jeans",13,2025-07-09,18-24,Bicycle theft,No,NW6 6ZB
S1377,Thomas Hernandez,"female, 5'6"", baseball cap",14,2025-05-10,35-44,Bicycle theft,Yes,E16 1RW
S0064,Mary Carter,"male, 5'10"", dark coat",12,2025-05-06,35-44,Bicycle theft,No,SW7 4RX
S0099,Mark Anderson,"male, 5'9"", white t-shirt",6,2025-06-01,18-24,Theft from the person,Yes,SW18 5WU
S1189,Lisa Rivera,"female, 6'0"", red jacket",8,2025-05-12,25-34,Bicycle theft,No,E7 0PF
S0837,Thomas Jones,"male, 5'8"", black hoodie",7,2025-06-01,35-44,Theft from the person,Yes,HA7 4UD
S1444,Richard Thomas,"male, 5'11"", dark coat",9,2025-05-18,18-24,Theft from the person,No,W1M 5DA
S0837,Thomas Jones,"male, 5'8"", black hoodie",7,2025-07-31,35-44,Theft from the person,No,SW20 2FT
S0568,Sarah Hill,"male, 5'6"", leather jacket",16,2025-07-19,35-44,Bicycle theft,No,CR9 3SY
S0267,Emma Miller,"female, 5'8"", grey sweater",13,2025-07-30,18-24,Theft from the person,Yes,SW1V 2LF
S1032,Emma Martin,"male, 6'0"", tracksuit",4,2025-05-01,55+,Theft from the person,No,HA9 7NN
S1157,Barbara Jones,"female, 5'11"", blue jeans",11,2025-05-29,18-24,Theft from the person,Yes,SW1X 7BD
S1459,Karen Wright,"female, 5'10"", black hoodie",18,2025-07-29,45-54,Theft from the person,Yes,EC3R 8EB
S0700,Christopher Perez,"female, 6'0"", baseball cap",6,2025-07-03,18-24,Theft from the person,Yes,N4 3QG
S1100,Donna Smith,"female, 5'7"", white t-shirt",26,2025-07-27,45-54,Bicycle theft,No,NW9 1TJ
S0230,Steven Rodriguez,"female, 6'2"", tracksuit",11,2025-06-30,45-54,Theft from the person,Yes,RM1 4QE
S1380,Paul Baker,"male, 5'5"", tracksuit",1,2025-05-16,25-34,Theft from the person,No,SW19 8FY
S1077,Lisa Anderson,"female, 5'8"", black hoodie",15,2025-07-06,55+,Theft from the person,Yes,HA1 1JW
S0155,Michael Wilson,"male, 5'7"", denim jacket",15,2025-06-29,25-34,Theft from the person,Yes,NW4 2XY
S0308,Patricia Anderson,"female, 5'6"", tracksuit",16,2025-06-28,35-44,Theft from the person,No,EN5 2EX
S0476,Barbara Wright,"male, 6'0"", baseball cap",12,2025-07-16,45-54,Bicycle theft,No,NW7 3WE
S1061,Michelle Campbell,"male, 5'11"", red jacket",38,2025-07-27,25-34,Bicycle theft,No,EC3P 3FZ
S0045,Helen Nelson,"male, 5'11"", red jacket",14,2025-07-19,35-44,Theft from the person,Yes,N12 8PY
S0781,Steven Hall,"female, 6'1"", white t-shirt",21,2025-06-06,45-54,Theft from the person,No,KT5 8JP
S1358,Thomas Hall,"male, 5'7"", dark coat",14,2025-05-22,35-44,Bicycle theft,No,CR7 7RA
S1065,Olivia Nelson,"female, 6'0"", blue jeans",8,2025-06-26,45-54,Theft from the person,No,NW1 3QJ
S1309,James Sanchez,"female, 6'2"", denim jacket",7,2025-05-28,55+,Theft from the person,Yes,NW9 9TW
S1281,Mia Garcia,"male, 5'11"", white t-shirt",29,2025-07-27,25-34,Bicycle theft,Yes,DA6 7AE
S0296,Sarah Clark,"male, 5'10"", red jacket",17,2025-06-18,25-34,Bicycle theft,No,SE18 7SR
S0938,Sarah Wilson,"female, 5'5"", baseball cap",16,2025-06-05,45-54,Theft from the person,Yes,NW10 2XD
S0288,Harper Scott,"male, 5'10"", denim jacket",6,2025-05-18,35-44,Bicycle theft,No,UB7 9QB
S0656,Anthony Smith,"male, 5'6"", black hoodie",8,2025-07-28,45-54,Bicycle theft,No,E15 3BU
S0413,Mia Taylor,"male, 5'11"", grey sweater",8,2025-06-11,55+,Bicycle theft,No,HA6 1PG
S0133,Steven Miller,"female, 6'2"", blue jeans",14,2025-07-24,35-44,Theft from the person,No,NW10 7GH
S1225,Carol Wilson,"male, 6'0"", tracksuit",14,2025-07-31,25-34,Bicycle theft,No,N12 8UL
S0326,Richard Young,"male, 6'1"", red jacket",11,2025-07-06,45-54,Theft from the person,Yes,RM1 4RH
S1017,Thomas Gonzalez,"male, 6'2"", black hoodie",12,2025-07-10,18-24,Theft from the person,No,SW11 1SB
S1031,Mia Ramirez,"female, 6'2"", denim jacket",3,2025-05-10,45-54,Bicycle theft,No,TW5 0NP
S1428,Mark Ramirez,"female, 5'5"", tracksuit",19,2025-05-17,45-54,Theft from the person,No,UB10 8TY
S0120,Charles Torres,"female, 6'2"", blue jeans",13,2025-05-15,18-24,Bicycle theft,Yes,IG2 7SZ
S1214,Lisa Hill,"male, 5'11"", tracksuit",4,2025-06-06,35-44,Theft from the person,Yes,BR7 5YB
S0017,Linda King,"male, 5'4"", denim jacket",10,2025-06-20,25-34,Bicycle theft,Yes,SW19 4EZ
S1255,Karen Jackson,"male, 6'2"", red jacket",32,2025-07-26,45-54,Theft from the person,Yes,KT3 5NQ
S0580,Evelyn Hall,"female, 5'7"", dark coat",20,2025-05-22,25-34,Theft from the person,No,CR5 3AN
S0441,Lisa Martinez,"female, 5'9"", white t-shirt",1,2025-07-04,55+,Bicycle theft,Yes,SE20 7BG
S0127,Isabella Baker,"female, 6'0"", leather jacket",18,2025-07-25,18-24,Theft from the person,No,N10 2RR
S0212,Amelia Lee,"female, 5'7"", white t-shirt",6,2025-05-05,25-34,Theft from the person,No,DA14 5FD
S0792,Robert Walker,"female, 6'0"", red jacket",4,2025-07-03,35-44,Theft from the person,No,SE21 7DQ
S1181,Barbara Green,"female, 6'1"", denim jacket",21,2025-06-19,45-54,Theft from the person,Yes,IG8 9AB
S1437,Anthony Hall,"male, 5'6"", red jacket",1,2025-05-12,25-34,Theft from the person,No,SE6 4FH
S0868,Linda Flores,"female, 5'6"", black hoodie",9,2025-05-12,25-34,Bicycle theft,Yes,TW2 5XU
S1477,Michelle Lopez,"female, 5'11"", blue jeans",11,2025-07-06,35-44,Bicycle theft,Yes,N14 7WN
S0928,Jennifer Rivera,"male, 5'7"", dark coat",12,2025-07-08,18-24,Theft from the person,No,SE16 6HR
S1358,Thomas Hall,"male, 5'7"", dark coat",11,2025-06-05,45-54,Bicycle theft,Yes,HA1 1HF
S0544,Charles Williams,"female, 6'1"", dark coat",13,2025-06-07,25-34,Theft from the person,No,EC2M 7PL
S0020,Barbara Williams,"female, 5'8"", black hoodie",3,2025-07-14,25-34,Theft from the person,Yes,IG9 5WN
S1125,Steven Martin,"male, 5'6"", blue jeans",30,2025-05-06,45-54,Theft from the person,No,SE18 1ND
S1276,Isabella Smith,"male, 5'11"", grey sweater",2,2025-07-03,55+,Theft from the person,Yes,E11 2EN
S1482,Jessica Martin,"male, 5'5"", dark coat",19,2025-05-04,35-44,Theft from the person,No,W14 4GL
S0210,Ruth Davis,"male, 5'6"", tracksuit",6,2025-05-21,18-24,Bicycle theft,Yes,EC3R 8NU
S1456,Jessica Hernandez,"male, 5'5"", denim jacket",26,2025-07-16,55+,Theft from the person,Yes,EC4M 7JP
S0559,Betty Smith,"male, 6'0"", grey sweater",6,2025-05-22,25-34,Bicycle theft,Yes,NW10 9DB
S1235,Mary Martin,"female, 6'1"", dark coat",3,2025-05-08,35-44,Bicycle theft,Yes,E3 2LL
S1193,Helen Taylor,"male, 5'11"", dark coat",12,2025-06-24,18-24,Theft from the person,No,N14 5PN
S1394,Daniel Perez,"female, 5'9"", black hoodie",1,2025-05-02,25-34,Theft from the person,No,TW7 4PR
S0908,Jennifer Clark,"male, 5'7"", black hoodie",18,2025-05-17,18-24,Theft from the person,No,W1J 6NG
S0809,Andrew Harris,"female, 5'5"", denim jacket",3,2025-05-20,25-34,Bicycle theft,Yes,KT5 9ND
S1068,Patricia Smith,"female, 5'6"", red jacket",21,2025-05-09,35-44,Theft from the person,No,WC1X 8PR
S0431,Isabella Carter,"female, 5'4"", blue jeans",10,2025-07-09,55+,Theft from the person,No,CR4 2AU
S0831,Helen Martinez,"female, 5'10"", denim jacket",4,2025-07-20,18-24,Theft from the person,No,SW3 4PL
S1266,Charles Wilson,"male, 5'8"", leather jacket",6,2025-05-15,55+,Bicycle theft,No,SE18 9JJ
S1464,Emma Baker,"female, 5'7"", blue jeans",6,2025-05-30,25-34,Bicycle theft,Yes,EC4A 4DA
S0211,Charles Carter,"male, 5'5"", leather jacket",12,2025-06-05,55+,Theft from the person,Yes,N7 6XX
S1422,Daniel Campbell,"male, 6'1"", red jacket",17,2025-05-25,35-44,Bicycle theft,Yes,W5 2YN
S1486,William Martin,"male, 5'10"", denim jacket",29,2025-06-05,45-54,Bicycle theft,Yes,E16 3TS
S1484,Andrew Clark,"female, 5'7"", grey sweater",10,2025-05-05,45-54,Theft from the person,No,WC1A 9JU
S0879,Evelyn Johnson,"male, 5'7"", black hoodie",6,2025-07-06,55+,Theft from the person,No,NW2 9UY
S1392,Paul Sanchez,"female, 6'1"", tracksuit",22,2025-07-27,18-24,Theft from the person,Yes,RM11 1PW
S0615,Michael Carter,"male, 5'5"", red jacket",10,2025-05-06,25-34,Bicycle theft,Yes,CR2 1PT
S0114,Mark Sanchez,"female, 5'11"", grey sweater",19,2025-07-08,18-24,Bicycle theft,Yes,RM6 4UU
S1476,Matthew Williams,"female, 5'8"", denim jacket",32,2025-05-02,35-44,Bicycle theft,No,SW3 5JB
S1177,Carol Lewis,"female, 5'9"", white t-shirt",9,2025-07-06,18-24,Theft from the person,No,SW3 1EQ
S0242,Patricia Lopez,"female, 5'9"", leather jacket",14,2025-05-28,45-54,Theft from the person,No,NW1 1TZ
S0442,Nancy Sanchez,"male, 5'8"", tracksuit",9,2025-05-08,35-44,Theft from the person,Yes,E9 5WE
S0483,Donna Jones,"male, 5'7"", denim jacket",1,2025-07-15,35-44,Bicycle theft,Yes,SE9 3NL
S0126,Charles Thomas,"female, 5'5"", black hoodie",2,2025-05-11,55+,Bicycle theft,No,TW5 9NW
S1326,Sandra Taylor,"male, 6'1"", black hoodie",24,2025-07-07,25-34,Theft from the person,Yes,W1A 1PW
S1066,Harper Jackson,"male, 5'5"", blue jeans",11,2025-06-26,18-24,Theft from the person,No,N7 7YQ
S1261,Donna Thompson,"female, 5'9"", leather jacket",2,2025-07-03,18-24,Bicycle theft,Yes,SW9 0EQ
S0774,Mark Scott,"male, 5'5"", grey sweater",14,2025-06-01,18-24,Theft from the person,Yes,EN4 9FF
S1279,Susan Nguyen,"male, 5'10"", dark coat",7,2025-07-27,35-44,Theft from the person,No,N3 3AL
S1486,William Martin,"male, 5'10"", denim jacket",20,2025-07-22,35-44,Theft from the person,No,SE1 7SN
S0907,Ava Moore,"male, 6'0"", baseball cap",13,2025-06-09,18-24,Bicycle theft,No,W14 0GQ
S1068,Patricia Smith,"female, 5'6"", red jacket",12,2025-07-30,18-24,Bicycle theft,Yes,SW2 1EF
S1446,Christopher Smith,"male, 5'7"", baseball cap",17,2025-06-08,55+,Theft from the person,No,E11 2AH
S0252,Matthew Moore,"male, 5'10"", grey sweater",12,2025-07-17,55+,Theft from the person,No,CR9 3JB
S0020,Barbara Williams,"female, 5'8"", black hoodie",1,2025-05-11,25-34,Bicycle theft,Yes,EN5 9EA
S0594,Mark Anderson,"female, 6'0"", dark coat",7,2025-06-06,25-34,Bicycle theft,Yes,W1G 0DG
S1480,Mia Smith,"male, 5'9"", dark coat",39,2025-07-02,55+,Bicycle theft,Yes,W2 5AQ
S0752,Michael Ramirez,"male, 6'1"", baseball cap",6,2025-07-06,45-54,Bicycle theft,No,E1 4GJ
S1410,Sophia King,"female, 5'9"", red jacket",9,2025-07-27,45-54,Theft from the person,No,N2 2FL
S0874,Paul Perez,"female, 5'10"", blue jeans",2,2025-07-24,45-54,Bicycle theft,Yes,SM1 9BT
S1196,Joshua Rodriguez,"male, 6'2"", tracksuit",15,2025-07-10,25-34,Bicycle theft,Yes,NW6 9BT
S0588,Jessica Green,"female, 6'1"", blue jeans",27,2025-07-12,55+,Bicycle theft,Yes,N12 7AW
S0572,Paul Sanchez,"female, 5'11"", dark coat",16,2025-07-23,35-44,Theft from the person,Yes,SE15 5EN
S1061,Michelle Campbell,"male, 5'11"", red jacket",16,2025-05-22,55+,Bicycle theft,No,BR2 9YL
S0979,Daniel Wright,"female, 5'11"", red jacket",16,2025-05-18,55+,Theft from the person,No,SW1P 4ER
S0693,Ava Sanchez,"female, 5'11"", red jacket",10,2025-05-30,35-44,Bicycle theft,Yes,N15 4SU
S1422,Daniel Campbell,"male, 6'1"", red jacket",18,2025-07-09,55+,Theft from the person,Yes,SW15 5JB
S0499,Mia Torres,"male, 5'5"", black hoodie",16,2025-06-10,55+,Bicycle theft,Yes,N9 0BZ
S0094,Sophia Brown,"female, 6'1"", leather jacket",13,2025-05-28,45-54,Theft from the person,Yes,NW9 6HU
S0636,Anthony Ramirez,"male, 5'11"", denim jacket",11,2025-05-28,35-44,Theft from the person,No,E2 0AT
S0838,Barbara Taylor,"male, 6'0"", tracksuit",1,2025-06-11,45-54,Theft from the person,Yes,W4 4ZQ
S1415,John White,"female, 6'2"", tracksuit",4,2025-05-14,45-54,Theft from the person,Yes,SW2 3HJ
S1255,Karen Jackson,"male, 6'2"", red jacket",15,2025-07-08,55+,Theft from the person,No,HA8 9HB
S1019,Helen Thomas,"female, 5'8"", leather jacket",8,2025-07-07,18-24,Bicycle theft,No,N7 8LL
S0184,Andrew Davis,"female, 5'6"", blue jeans",15,2025-05-24,25-34,Theft from the person,No,SW16 5FT
S0561,Matthew Nelson,"female, 5'11"", leather jacket",13,2025-07-05,18-24,Theft from the person,Yes,NW9 8TR
S1464,Emma Baker,"female, 5'7"", blue jeans",4,2025-06-26,45-54,Bicycle theft,Yes,E6 1ET
S1467,Christopher Williams,"male, 5'5"", denim jacket",14,2025-07-28,25-34,Bicycle theft,No,SW11 2LZ
S1402,Joseph Martin,"female, 5'8"", white t-shirt",9,2025-07-06,45-54,Bicycle theft,Yes,HA3 3EN
S1498,Carol Brown,"male, 5'6"", dark coat",27,2025-07-31,45-54,Bicycle theft,Yes,DA1 4QX
S1240,William Smith,"female, 5'9"", grey sweater",5,2025-07-14,55+,Theft from the person,Yes,HA2 9WG
S1343,Richard Roberts,"male, 6'0"", baseball cap",35,2025-05-07,18-24,Bicycle theft,No,W12 7AA
S0258,Jennifer Jones,"male, 5'8"", red jacket",19,2025-06-06,45-54,Bicycle theft,No,SE9 4QL
S0171,Michelle Nelson,"male, 5'9"", tracksuit",20,2025-05-30,55+,Theft from the person,Yes,EC2A 1LA
S0942,Helen Clark,"male, 6'1"", tracksuit",14,2025-05-03,35-44,Theft from the person,Yes,TW8 0NQ
S1165,Joseph Flores,"male, 6'1"", red jacket",6,2025-06-22,25-34,Theft from the person,Yes,W10 6DU
S0624,James Lee,"male, 5'8"", tracksuit",1,2025-05-23,25-34,Bicycle theft,No,W1T 4LX
S0914,Sharon Sanchez,"female, 5'5"", black hoodie",12,2025-07-10,35-44,Theft from the person,Yes,N4 1AG
S1486,William Martin,"male, 5'10"", denim jacket",41,2025-07-17,18-24,Bicycle theft,Yes,SW20 2EF
S1403,Sarah Torres,"female, 5'7"", leather jacket",10,2025-07-22,55+,Bicycle theft,No,SW7 1AJ
S1132,Donna Allen,"male, 5'11"", baseball cap",28,2025-06-18,25-34,Theft from the person,No,SW20 9ND
S1104,Paul Sanchez,"female, 5'10"", blue jeans",13,2025-07-21,55+,Theft from the person,Yes,W13 0AW
S0452,Donna Perez,"female, 5'7"", red jacket",17,2025-07-21,18-24,Bicycle theft,Yes,NW2 2LL
S0614,Ruth Adams,"male, 5'4"", baseball cap",14,2025-07-17,55+,Bicycle theft,Yes,NW6 5JP
S0932,Betty Nelson,"female, 5'6"", leather jacket",22,2025-05-21,18-24,Theft from the person,Yes,NW10 6JD
S1490,Ruth Perez,"female, 5'6"", denim jacket",36,2025-05-26,55+,Theft from the person,No,BR3 5HY
S0410,Joshua Harris,"male, 5'11"", baseball cap",16,2025-07-18,25-34,Theft from the person,No,TW3 1SH
S1213,Michael Wright,"male, 6'0"", dark coat",3,2025-05-28,55+,Theft from the person,Yes,EC4A 4BS
S1336,Susan Nelson,"male, 5'4"", red jacket",21,2025-05-16,18-24,Theft from the person,No,W1U 1NH
S0796,John Mitchell,"male, 6'2"", denim jacket",3,2025-06-26,18-24,Bicycle theft,No,E17 0UZ
S1183,Daniel Davis,"male, 5'6"", grey sweater",8,2025-05-26,45-54,Bicycle theft,Yes,N19 3PE
S1326,Sandra Taylor,"male, 6'1"", black hoodie",5,2025-05-04,35-44,Theft from the person,Yes,CR4 6JA
S1133,Ava Green,"male, 5'8"", black hoodie",14,2025-07-11,55+,Theft from the person,No,BR5 4WF
S0280,Michael Lee,"female, 6'2"", grey sweater",7,2025-05-05,25-34,Bicycle theft,Yes,N8 8JY
S0998,Linda Rodriguez,"male, 6'0"", tracksuit",11,2025-06-07,35-44,Theft from the person,Yes,N8 8HR
S1014,Amelia Smith,"male, 5'9"", tracksuit",7,2025-07-01,18-24,Bicycle theft,No,EC3M 7JX
S1343,Richard Roberts,"male, 6'0"", baseball cap",19,2025-06-20,25-34,Bicycle theft,Yes,EC1Y 2AG
S0729,Sarah Gonzalez,"male, 6'1"", dark coat",7,2025-05-07,25-34,Bicycle theft,Yes,W1V 6HS
S1282,Sandra Garcia,"male, 5'5"", black hoodie",13,2025-05-12,25-34,Bicycle theft,No,N3 2LU
S1169,Anthony Clark,"female, 5'7"", baseball cap",9,2025-05-22,18-24,Theft from the person,No,SE3 7YX
S1463,Olivia Wright,"female, 5'9"", white t-shirt",7,2025-05-31,35-44,Theft from the person,Yes,RM10 9EU
S0596,Anthony Wright,"male, 5'6"", blue jeans",22,2025-06-26,45-54,Theft from the person,Yes,N9 9YA
